research_paper_id,year,author_id,author
13,2000,1,"Papageorgiou, Constantine P."
15,2000,2,"Evgeniou, Theodoros"
15,2000,3,"Pontil, Massimiliano"
55,2001,4,"Sezgin, Tevfik Metin"
56,2001,5,"Banks, Jessica"
57,2001,6,"Ucko, Aaron Mark"
60,2001,7,"Ho, Purdy"
61,2001,8,"Nagpal, Radhika"
63,2001,9,"Alvira, Mariano"
63,2001,10,"Paris, Jim"
63,2001,11,"Rifkin, Ryan"
64,2001,12,"Chan, Nicholas T."
64,2001,13,"Dahan, Ely"
64,2001,14,"Lo, Andrew W."
64,2001,15,"Poggio, Tomaso"
65,2001,16,"Russell, Richard"
65,2001,17,"Sinha, Pawan"
66,2001,18,"Torralba, Antonio"
66,2001,17,"Sinha, Pawan"
69,2001,19,"Zollei, Lilla"
70,2001,20,"Shelton, Christian Robert"
71,2001,17,"Sinha, Pawan"
71,2001,18,"Torralba, Antonio"
72,2001,21,"Beal, Jacob"
73,2001,22,"Yeo, Gene"
73,2001,15,"Poggio, Tomaso"
77,2001,23,"Rennie, Jason D. M."
78,2001,24,"Hong, Won"
79,2001,25,"Bryson, Joanna J."
80,2001,18,"Torralba, Antonio"
80,2001,17,"Sinha, Pawan"
81,2001,26,"Dror, Ron O."
81,2001,27,"Adelson, Edward H."
81,2001,28,"Willsky, Alan S."
82,2001,29,"Lee, Lily"
83,2001,30,"Miller, Erik G."
83,2001,31,"Tieu, Kinh"
83,2001,32,"Stauffer, Chris P."
84,2001,33,"Yu, Angela J."
84,2001,34,"Giese, Martin A."
84,2001,35,"Poggio, Tomaso A."
85,2001,36,"Taycher, Leonid"
85,2001,37,"Darrell, Trevor"
86,2001,38,"Arkoudas, Konstantine"
87,2001,38,"Arkoudas, Konstantine"
88,2001,23,"Rennie, Jason D. M."
88,2001,11,"Rifkin, Ryan"
89,2001,39,"Fleming, Roland W."
89,2001,26,"Dror, Ron O."
89,2001,27,"Adelson, Edward H."
90,2001,26,"Dror, Ron O."
90,2001,40,"Edward H. Adelson,"
90,2001,28,"Willsky, Alan S."
92,2001,41,"Ostrovsky, Yuri"
92,2001,42,"Cavanagh, Patrick"
92,2001,17,"Sinha, Pawan"
93,2001,18,"Torralba, Antonio"
93,2001,17,"Sinha, Pawan"
94,2001,43,"Corduneanu, Adrian"
94,2001,44,"Jaakkola, Tommi"
95,2001,38,"Arkoudas, Konstantine"
98,2001,18,"Torralba, Antonio"
98,2001,45,"Oliva, Aude"
99,2001,46,"Riesenhuber, Maximilian"
100,2001,47,"Yip, Andrew"
100,2001,17,"Sinha, Pawan"
103,2002,21,"Beal, Jacob"
104,2002,37,"Darrell, Trevor"
104,2002,48,"Checka, Neal"
104,2002,49,"Oh, Alice"
104,2002,50,"Morency, Louis-Philippe"
105,2002,51,"Freeman, William T."
105,2002,52,"Zhang, Hao"
118,2002,15,"Poggio, Tomaso"
118,2002,11,"Rifkin, Ryan"
118,2002,53,"Mukherjee, Sayan"
118,2002,54,"Rakhlin, Alex"
120,2002,55,"Knoblich, Ulf"
120,2002,56,"Riesenhuber, Maximilan"
121,2002,57,"Sullivan, Gregory T."
124,2002,58,"Finney, Sarah"
124,2002,59,"Gardiol, Natalia H."
124,2002,60,"Kaelbling, Leslie Pack"
124,2002,61,"Oates, Tim"
125,2002,55,"Knoblich, Ulf"
125,2002,62,"Freedman, David J."
125,2002,46,"Riesenhuber, Maximilian"
129,2002,63,"Steinbach, Carl"
130,2002,64,"Huang, Andrew ""bunnie"""
137,2002,64,"Huang, Andrew ""bunnie"""
138,2002,65,"Brown, Jeremy Hanford"
139,2002,66,"Kim, Adlar J."
139,2002,67,"Shelton, Christian R."
140,2002,68,"III, Teodoro Arvizo"
146,2002,69,"Werfel, Justin"
150,2002,70,"Schneider, Robert"
150,2002,46,"Riesenhuber, Maximilian"
151,2002,71,"Giese, Martin Alexander"
151,2002,15,"Poggio, Tomaso"
152,2002,72,"Giese, M.A."
152,2002,73,"Xie, X."
155,2002,74,"Steck, Harald"
155,2002,75,"Jaakkola, Tommi S."
156,2002,51,"Freeman, William T."
156,2002,18,"Torralba, Antonio"
157,2002,76,"Tappen, Marshall F."
157,2002,51,"Freeman, William T."
157,2002,27,"Adelson, Edward H."
158,2002,77,"Kumar, Vinay P."
163,2002,26,"Dror, Ron O."
164,2002,78,"Van Eepoel, John M."
170,2002,79,"Sussman, Gerald Jay"
170,2002,80,"Wisdom, Jack"
171,2002,80,"Wisdom, Jack"
176,2002,81,"Sudderth, Erik B."
176,2002,82,"Ihler, Alexander T."
176,2002,51,"Freeman, William T."
176,2002,28,"Willsky, Alan S."
177,2002,21,"Beal, Jacob"
178,2002,83,"Bouvrie, Jake V."
179,2002,53,"Mukherjee, Sayan"
179,2002,84,"Niyogi, Partha"
179,2002,15,"Poggio, Tomaso"
179,2002,11,"Rifkin, Ryan"
180,2002,18,"Torralba, Antonio"
180,2002,51,"Freeman, William T."
181,2002,85,"Perez-Breva, Luis"
181,2002,86,"Yoshimi, Osamu"
182,2002,87,"Grossman, J.P."
192,2003,88,"Srebro, Nathan"
192,2003,44,"Jaakkola, Tommi"
195,2003,89,"Adler, Aaron D."
196,2003,90,"Kim, Philip Mjong-Hyon Shin"
197,2003,91,"Chklovski, Timothy"
198,2003,92,"Peshkin, Leonid"
199,2003,74,"Steck, Harald"
199,2003,75,"Jaakkola, Tommi S."
200,2003,93,"Geiger, Gadi"
200,2003,94,"Ezzat, Tony"
200,2003,15,"Poggio, Tomaso"
206,2003,95,"Jarudi, Izzat N."
206,2003,17,"Sinha, Pawan"
207,2003,21,"Beal, Jacob"
208,2003,18,"Torralba, Antonio"
208,2003,96,"Murphy, Kevin P."
208,2003,51,"Freeman, William T."
208,2003,97,"Rubin, Mark A."
212,2003,98,"Alvarado, Christine"
212,2003,99,"Teevan, Jaime"
212,2003,100,"Ackerman, Mark S."
212,2003,101,"Karger, David"
213,2003,21,"Beal, Jacob"
214,2003,102,"Grauman, Kristen"
214,2003,103,"Shakhnarovich, Gregory"
214,2003,37,"Darrell, Trevor"
215,2003,104,"Christoudias, Chris Mario"
215,2003,50,"Morency, Louis-Philippe"
215,2003,37,"Darrell, Trevor"
216,2003,103,"Shakhnarovich, Gregory"
216,2003,105,"Viola, Paul"
216,2003,37,"Darrell, Trevor"
223,2003,50,"Morency, Louis-Philippe"
225,2003,21,"Beal, Jacob"
226,2003,106,"Martin, Martin C."
227,2003,102,"Grauman, Kristen"
228,2003,107,"Wehowsky, Andreas F."
233,2003,108,"Das, Sanmay"
234,2003,109,"Gajos, Krzysztof"
234,2003,110,"Shrobe, Howard"
235,2003,111,"Louie, Jennifer"
236,2003,112,"Rosen, Ezra"
237,2003,113,"Koile, Kimberle"
237,2003,114,"Tollmar, Konrad"
237,2003,115,"Demirdjian, David"
237,2003,110,"Shrobe, Howard"
237,2003,37,"Darrell, Trevor"
238,2003,116,"Monteleoni, Claire"
239,2003,117,"Marjanovic, Matthew J."
240,2003,29,"Lee, Lily"
241,2003,118,"Timoner, Samson"
242,2003,118,"Timoner, Samson"
249,2003,119,"Felzenszwalb, Pedro F."
250,2003,119,"Felzenszwalb, Pedro F."
252,2003,21,"Beal, Jacob"
253,2003,21,"Beal, Jacob"
254,2003,120,"Balas, Benjamin J."
254,2003,17,"Sinha, Pawan"
255,2003,120,"Balas, Benjamin J."
255,2003,17,"Sinha, Pawan"
257,2003,121,"Shimizu, Hiroaki"
257,2003,15,"Poggio, Tomaso"
259,2003,121,"Shimizu, Hiroaki"
259,2003,15,"Poggio, Tomaso"
260,2003,53,"Mukherjee, Sayan"
260,2003,122,"Golland, Polina"
260,2003,123,"Panchenko, Dmitry"
261,2003,53,"Mukherjee, Sayan"
261,2003,122,"Golland, Polina"
261,2003,123,"Panchenko, Dmitry"
262,2003,124,"Che, Austin"
263,2003,124,"Che, Austin"
264,2003,125,"Ross, Michael G."
264,2003,60,"Kaelbling, Leslie Pack"
265,2003,126,"Kouh, Minjoon"
265,2003,46,"Riesenhuber, Maximilian"
266,2003,125,"Ross, Michael G."
266,2003,60,"Kaelbling, Leslie Pack"
267,2003,126,"Kouh, Minjoon"
267,2003,46,"Riesenhuber, Maximilian"
274,2003,127,"Eisenstein, Jacob"
275,2003,127,"Eisenstein, Jacob"
280,2003,128,"Morgenstern, Christian"
280,2003,129,"Heisele, Bernd"
281,2003,128,"Morgenstern, Christian"
281,2003,129,"Heisele, Bernd"
282,2003,130,"Chang, Yu-Han"
282,2003,131,"Ho, Tracey"
282,2003,60,"Kaelbling, Leslie Pack"
283,2003,130,"Chang, Yu-Han"
283,2003,131,"Ho, Tracey"
283,2003,60,"Kaelbling, Leslie Pack"
284,2003,102,"Grauman, Kristen"
284,2003,37,"Darrell, Trevor"
285,2003,102,"Grauman, Kristen"
285,2003,37,"Darrell, Trevor"
287,2003,21,"Beal, Jacob"
287,2003,132,"Gilbert, Seth"
288,2003,21,"Beal, Jacob"
288,2003,132,"Gilbert, Seth"
290,2004,70,"Schneider, Robert"
290,2004,46,"Riesenhuber, Maximilian"
291,2004,70,"Schneider, Robert"
291,2004,46,"Riesenhuber, Maximilian"
292,2004,133,"Rakhlin, Alexander"
292,2004,123,"Panchenko, Dmitry"
292,2004,53,"Mukherjee, Sayan"
293,2004,134,"Wolf, Lior"
293,2004,135,"Amnon Shashua,"
293,2004,53,"Mukherjee, Sayan"
294,2004,134,"Wolf, Lior"
294,2004,136,"Shashua, Amnon"
294,2004,53,"Mukherjee, Sayan"
295,2004,133,"Rakhlin, Alexander"
295,2004,123,"Panchenko, Dmitry"
295,2004,53,"Mukherjee, Sayan"
296,2004,102,"Grauman, Kristen"
296,2004,103,"Shakhnarovich, Gregory"
296,2004,37,"Darrell, Trevor"
297,2004,102,"Grauman, Kristen"
297,2004,103,"Shakhnarovich, Gregory"
297,2004,37,"Darrell, Trevor"
299,2004,110,"Shrobe, Howard"
299,2004,137,"Laddaga, Robert"
300,2004,110,"Shrobe, Howard"
300,2004,137,"Laddaga, Robert"
304,2004,138,Riesenhuber
304,2004,139,Jarudi
304,2004,140,Gilad
304,2004,141,Sinha
305,2004,138,Riesenhuber
305,2004,139,Jarudi
305,2004,140,Gilad
305,2004,141,Sinha
308,2004,142,"Yokono, Jerry Jun"
308,2004,15,"Poggio, Tomaso"
309,2004,142,"Yokono, Jerry Jun"
309,2004,15,"Poggio, Tomaso"
315,2004,18,"Torralba, Antonio"
317,2004,18,"Torralba, Antonio"
317,2004,96,"Murphy, Kevin P."
317,2004,51,"Freeman, William T."
318,2004,18,"Torralba, Antonio"
320,2004,18,"Torralba, Antonio"
320,2004,96,"Murphy, Kevin P."
320,2004,51,"Freeman, William T."
321,2004,85,"Perez-Breva, Luis"
323,2004,142,"Yokono, Jerry Jun"
323,2004,15,"Poggio, Tomaso"
324,2004,142,"Yokono, Jerry Jun"
324,2004,15,"Poggio, Tomaso"
325,2004,19,"Zollei, Lilla"
325,2004,143,"Fisher, John"
325,2004,144,"Wells, William"
326,2004,19,"Zollei, Lilla"
326,2004,143,"Fisher, John"
326,2004,144,"Wells, William"
332,2004,145,"Kennell, Jonathan"
333,2004,146,"Stamatoiu, Oana L."
334,2004,145,"Kennell, Jonathan"
336,2004,146,"Stamatoiu, Oana L."
338,2004,147,"Goler, Jonathan A."
339,2004,147,"Goler, Jonathan A."
343,2004,148,"Hearn, Robert A."
344,2004,148,"Hearn, Robert A."
345,2004,99,"Teevan, Jaime"
346,2004,99,"Teevan, Jaime"
348,2004,18,"Torralba, Antonio"
348,2004,96,"Murphy, Kevin P."
348,2004,51,"Freeman, William T."
349,2004,18,"Torralba, Antonio"
349,2004,96,"Murphy, Kevin P."
349,2004,51,"Freeman, William T."
351,2004,149,"Indyk, Piotr"
351,2004,150,"Woodruff, David"
352,2004,149,"Indyk, Piotr"
352,2004,150,"Woodruff, David"
353,2004,151,"Badoiu, Mihai"
353,2004,149,"Indyk, Piotr"
353,2004,152,"Sidiropoulos, Anastasios"
354,2004,151,"Badoiu, Mihai"
354,2004,149,"Indyk, Piotr"
354,2004,152,"Sidiropoulos, Anastasios"
359,2004,153,"Kemp, Charles"
359,2004,154,"Griffiths, Thomas L."
359,2004,155,"Tenenbaum, Joshua B."
360,2004,156,"Uzuner, Ozlem"
361,2004,157,"Serre, Thomas"
361,2004,46,"Riesenhuber, Maximilian"
362,2004,4,"Sezgin, Tevfik Metin"
